GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food_reasons_coded,cook,comfort_food_reasons_coded.1,cuisine,diet_current_coded,drink,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,fav_cuisine_coded,fav_food,fries,fruit_day,grade_level,greek_food,healthy_feeling,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,mother_education,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,veggies_day,vitamins,waffle_calories,weight
2.4,2,1,430,3.0283018867924527,315.0,1,9.0,2.0,9,1.3888888888888888,1,1.0,1,1,3,3.0,1,1.0,5.0,3,1.0,2,5,2,5,2,8,5.0,5,5,1.0,1.0,1.0,5,1.0,1,2,5.0,3.0,1.0,1.0,1,1165.0,345,5,1,1315,187.0
3.654,1,1,610,3.0,420.0,2,1.0,3.0,1,1.0,2,2.0,1,2,2,2.0,4,1.0,2.0,1,1.0,1,4,4,4,5,3,4.0,4,4,1.0,2.0,4.0,4,1.0,1,4,4.0,3.0,1.0,1.0,2,725.0,690,4,2,900,155.0
3.3,1,1,720,4.0,420.0,2,1.0,1.0,1,3.0,3,1.0,1,3,2,3.0,5,2.0,2.0,1,3.0,1,5,3,5,6,6,6.0,5,5,7.0,2.0,2.0,4,2.0,1,3,5.0,6.0,1.0,2.0,5,1165.0,500,5,1,900,158.5
3.2,1,1,430,3.0,420.0,2,2.0,2.0,2,2.0,2,2.0,1,3,2,3.0,5,3.0,2.0,3,1.0,2,4,4,5,7,2,6.0,5,5,2.0,2.0,4.0,2,1.0,1,2,5.0,5.0,1.0,2.0,5,725.0,690,3,1,1315,158.5
3.5,1,1,720,2.0,420.0,2,1.0,1.0,1,2.0,2,2.0,3,4,2,2.0,4,1.0,4.0,1,3.0,1,4,4,4,6,2,6.0,2,5,1.0,1.0,5.0,3,1.0,1,4,2.0,4.0,1.0,1.0,4,940.0,500,4,2,760,190.0
2.25,1,1,610,3.0,980.0,2,4.0,3.0,4,1.3888888888888888,2,2.0,1,3,1,3.0,4,2.0,1.0,6,3.0,1,2,2,2,4,2,1.0,5,5,4.0,2.0,1.0,1,1.0,2,5,5.0,5.0,1.0,2.0,4,940.0,345,1,2,1315,190.0
3.8,2,1,610,3.0,420.0,2,1.0,2.0,1,1.0,3,1.0,2,5,2,3.0,5,1.0,4.0,4,1.0,1,4,4,5,4,2,4.0,5,5,8.0,1.0,4.0,4,2.0,2,2,5.0,4.0,1.0,1.0,5,940.0,690,4,1,1315,180.0
3.3,1,1,720,3.0,420.0,1,1.0,3.0,1,1.0,1,2.0,2,5,2,2.0,2,2.0,3.0,5,1.0,1,5,2,3,3,2,5.0,1,3,3.0,1.0,2.0,4,1.0,1,5,1.0,3.0,1.0,2.0,1,725.0,500,4,2,1315,137.0
3.3,1,1,430,3.0283018867924527,420.0,1,2.0,3.0,2,1.0,1,1.0,2,8,5,2.0,5,1.5892857142857142,5.0,1,3.0,1,4,1,5,7,6,5.0,5,5,8.0,2.0,5.0,2,1.0,2,3,5.0,4.0,2.0,2.0,5,725.0,345,3,2,760,180.0
3.3,1,1,430,3.0,315.0,2,1.0,3.0,1,1.0,1,1.0,1,3,3,3.0,5,1.0,5.0,1,1.0,1,5,1,5,3,2,4.0,4,5,3.0,2.0,5.0,5,1.0,3,3,4.0,3.0,1.0,1.0,4,580.0,345,5,1,900,125.0
3.5,1,1,610,3.0,980.0,2,2.0,1.0,2,1.0,1,2.0,3,4,2,1.0,5,1.0,2.0,4,1.0,1,5,3,1,9,7,3.0,1,5,8.0,1.0,4.0,2,3.0,1,2,2.0,1.0,1.0,1.0,2,940.0,345,5,2,900,116.0
3.904,1,1,720,4.0,420.0,2,3.0,3.0,3,1.0,1,1.0,4,5,1,2.0,5,1.0,3.0,1,1.0,1,5,2,5,1,2,5.0,5,5,1.0,2.0,4.0,5,1.0,1,3,5.0,2.0,1.0,1.0,5,940.0,500,5,1,900,110.0
3.4,2,1,430,3.0,420.0,2,3.0,5.0,3,1.0,1,2.0,2,5,1,3.0,4,3.0,3.0,4,3.0,1,4,1,3,9,1,5.0,3,4,9.0,2.0,4.0,2,1.0,2,2,3.0,5.0,2.0,1.0,3,940.0,500,3,2,575,264.0
3.6,1,1,610,3.0,420.0,2,1.0,2.0,1,1.0,2,2.0,1,3,4,2.0,5,2.0,2.0,1,1.0,1,5,3,4,8,2,5.0,3,5,10.0,2.0,4.0,2,2.0,2,3,3.0,3.0,1.0,1.0,5,1165.0,850,5,2,1315,123.0
3.1,2,1,610,3.0,420.0,2,2.0,3.0,2,1.0,1,2.0,3,4,2,3.0,4,2.0,4.0,4,3.0,1,5,3,4,2,1,5.0,2,3,1.0,1.0,4.0,2,2.0,2,3,1.0,3.0,1.0,1.0,4,940.0,500,5,1,900,185.0
3.4155583333333337,2,2,430,3.0283018867924527,980.0,2,2.0,4.0,2,1.0,2,2.0,3,4,4,3.0,1,1.0,5.0,1,2.0,1,3,1,1,6,2,4.0,1,5,5.104838709677419,2.0,4.0,1,1.0,2,3,1.0,2.0,2.0,1.0,1,940.0,345,1,2,1315,180.0
4.0,1,1,265,3.0,420.0,1,1.0,3.0,1,1.3888888888888888,1,1.0,2,5,1,2.0,2,2.0,1.0,7,1.0,1,5,1,2,7,2,1.0,5,3,9.0,2.0,2.0,4,1.0,2,2,2.0,3.0,1.0,2.0,1,580.0,345,5,1,760,145.0
3.6,2,1,430,3.0,980.0,2,2.0,3.0,2,1.0,3,2.0,1,2,2,3.0,4,1.0,2.0,5,3.0,1,3,1,3,8,1,6.0,3,5,7.0,2.0,2.0,4,1.0,1,6,2.0,2.0,1.0,1.0,3,940.0,500,4,2,900,170.0
3.4,1,1,720,3.0,980.0,1,3.0,3.0,3,1.0,1,1.0,4,6,3,2.0,1,3.0,5.0,5,3.0,1,5,2,3,6,2,5.0,1,5,9.0,2.0,3.0,2,1.0,1,2,1.0,3.0,2.0,2.0,1,1165.0,690,5,1,1315,135.0
2.2,2,1,430,2.0,420.0,2,2.0,4.0,2,1.0,2,2.0,3,4,2,3.0,3,2.0,5.0,1,1.0,1,2,1,3,4,3,5.0,2,5,7.0,1.0,4.0,1,1.0,1,3,3.0,4.0,1.0,1.3902439024390243,3,940.0,345,2,2,900,165.0
3.3,2,1,610,3.0,980.0,2,7.0,5.0,7,1.0,2,2.0,1,3,4,2.0,4,1.0,5.0,2,3.0,1,2,2,2,5,1,6.0,1,4,2.0,1.0,4.0,2,1.0,1,2,1.0,6.0,1.0,1.0,1,1165.0,850,3,2,1315,175.0
