MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,SaleType,SaleCondition,SalePrice
60,2,65.0,8450,1,3,3,0,4,0,3,2,0,0,3,7,5,0,0,7,9,196.0,2,2,2,2,2,3,2,706,0,0,150,856,0,0,1,4,856,854,0,1710,1,0,2,1,3,1,2,8,4,0,3,0,2,2,548,3,4,2,0,61,0,0,0,0,0,2,8,3,0.5624409665107734
60,2,68.0,11250,1,0,3,0,4,0,3,2,0,0,3,7,5,0,0,7,9,162.0,2,2,2,2,2,2,2,486,0,0,434,920,0,0,1,4,920,866,0,1786,1,0,2,1,3,1,2,6,4,1,5,0,2,2,608,3,4,2,0,42,0,0,0,0,0,9,8,3,0.8380591250957402
60,2,84.0,14260,1,0,3,0,2,0,13,2,0,0,3,8,5,0,0,7,9,350.0,2,2,2,2,2,0,2,655,0,0,490,1145,0,0,1,4,1145,1053,0,2198,1,0,2,1,4,1,2,9,4,1,5,0,2,3,836,3,4,2,192,84,0,0,0,0,0,12,8,3,1.3249845385958483
20,2,75.0,10084,1,3,3,0,4,0,19,2,0,0,2,8,5,0,0,7,9,186.0,2,2,2,0,2,0,2,1369,0,0,317,1686,0,0,1,4,1694,0,0,1694,1,0,2,0,3,1,2,7,4,1,2,0,2,2,636,3,4,2,255,57,0,0,0,0,0,8,8,3,2.3723335412187225
20,2,70.0,11200,1,3,3,0,4,0,17,2,0,0,2,5,5,2,0,3,3,0.0,3,2,1,3,2,3,4,906,0,0,134,1040,0,0,1,4,1040,0,0,1040,1,0,1,0,3,1,3,5,4,0,3,3,3,1,384,3,4,2,0,0,0,0,0,0,0,2,8,3,-0.8891480020367187
20,2,91.0,10652,1,0,3,0,4,0,3,2,0,0,2,7,5,0,0,7,9,306.0,2,2,2,2,2,0,5,0,0,0,1494,1494,0,0,1,4,1494,0,0,1494,0,0,2,0,3,1,2,7,4,1,2,0,2,3,840,3,4,2,160,33,0,0,0,0,0,8,6,4,1.86703358381295
20,2,66.0,13695,1,3,3,0,4,0,18,4,0,0,2,5,5,0,0,7,9,0.0,3,2,2,3,2,3,2,646,0,0,468,1114,0,0,1,4,1114,0,0,1114,1,0,1,1,3,1,2,6,4,0,3,3,3,2,576,3,4,2,0,102,0,0,0,0,0,6,8,3,-0.3470989568196172
20,2,70.0,7560,1,3,3,0,4,0,10,2,0,0,2,5,6,2,0,1,6,0.0,3,2,1,3,2,3,3,504,0,0,525,1029,0,3,1,4,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,3,0,3,1,294,3,4,2,0,0,0,0,0,0,0,5,0,0,-0.7145898349329064
60,2,101.0,14215,1,0,3,0,0,0,14,2,0,0,3,8,5,0,0,7,9,380.0,2,2,2,0,2,0,5,0,0,0,1158,1158,0,0,1,4,1158,1218,0,2376,0,0,3,1,4,1,2,9,4,1,2,2,2,3,853,3,4,2,240,154,0,0,0,0,0,11,6,4,2.708587694692382
120,3,44.0,4224,1,3,3,0,4,0,8,2,0,3,2,5,7,0,0,2,2,0.0,3,2,2,2,2,3,2,840,0,0,200,1040,0,3,1,4,1060,0,0,1060,1,0,1,0,3,1,3,6,4,1,5,0,3,2,572,3,4,2,100,110,0,0,0,0,0,6,8,3,-0.8817981844744529
20,2,98.0,11478,1,3,3,0,4,0,14,2,0,0,2,8,5,0,0,7,9,200.0,2,2,2,0,2,3,2,1218,0,0,486,1704,0,0,1,4,1704,0,0,1704,1,0,2,0,3,1,2,7,4,1,2,0,2,3,772,3,4,2,0,50,0,0,0,0,0,5,8,3,2.353958997313058
20,2,69.0,8544,1,0,3,0,1,0,17,2,0,0,2,5,6,0,0,3,3,0.0,3,2,1,3,2,3,5,0,0,0,1228,1228,0,2,1,4,1228,0,0,1228,0,0,1,1,3,1,2,6,4,0,3,0,3,1,271,3,4,2,0,65,0,0,0,0,0,6,8,3,-0.5244133055092792
20,2,85.0,11049,1,3,3,0,0,0,3,2,0,0,2,8,5,0,0,7,9,0.0,2,2,2,0,2,0,5,0,0,0,1234,1234,0,0,1,4,1234,0,0,1234,0,0,2,0,3,1,2,7,4,0,3,0,2,2,484,3,4,2,0,30,0,0,0,0,0,1,8,3,0.036929010808769924
120,2,60.0,7313,1,3,3,0,4,0,14,2,0,3,2,9,5,2,0,4,5,246.0,0,2,2,0,2,3,2,1153,0,0,408,1561,0,0,1,4,1561,0,0,1561,1,0,2,0,2,1,0,6,4,1,2,0,0,2,556,3,4,2,203,47,0,0,0,0,0,8,8,3,1.830284496001621
