,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3(Target),index
0,GP,F,nan,U,GT3,A,4.0,-inf,at_home,teacher,course,mother,2.0,2.0,0.0,yes,no,no,no,yes,yes,no,no,4.0,nan,4.0,1.0,1.0,3.0,4.0,0.0,11.0,11.0,0
1,GP,F,-,U,GT3,T,1.0,1.0,at_home,other,course,father,1.0,2.0,0.0,no,yes,no,no,no,yes,yes,no,5.0,3.0,3.0,-,,3.0,2.0,9.0,-inf,11.0,1
2,GP,F,15.0,U,LE3,T,1.0,1.0,at_home,other,other,mother,1.0,2.0,,yes,no,no,no,yes,yes,yes,no,4.0,,2.0,2.0,nan,,6.0,12.0,13.0,12.0,2
3,GP,F,15.0,U,GT3,T,4.0,,health,services,home,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,3.0,,,1.0,1.0,5.0,0.0,,inf,,3
4,GP,F,16.0,U,GT3,T,3.0,3.0,other,other,home,father,1.0,inf,0.0,no,yes,no,no,yes,yes,no,no,4.0,-inf,2.0,inf,2.0,5.0,0.0,,13.0,13.0,4
5,GP,M,16.0,U,LE3,T,4.0,3.0,services,other,reputation,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,2.0,1.0,,nan,6.0,12.0,12.0,13.0,5
6,GP,M,-inf,U,LE3,T,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,13.0,12.0,13.0,6
7,GP,F,17.0,U,GT3,A,4.0,,other,teacher,home,mother,2.0,2.0,-inf,yes,yes,no,no,yes,yes,no,no,,1.0,4.0,,-,1.0,2.0,10.0,13.0,13.0,7
8,GP,M,15.0,U,LE3,A,nan,-,services,other,home,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,nan,2.0,2.0,1.0,1.0,inf,0.0,15.0,,17.0,8
9,GP,M,15.0,U,GT3,T,,4.0,other,other,home,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,5.0,1.0,inf,nan,,0.0,12.0,12.0,13.0,9
10,GP,F,15.0,U,GT3,T,,4.0,teacher,health,reputation,mother,nan,2.0,0.0,no,yes,no,no,yes,yes,yes,no,-inf,3.0,,1.0,nan,2.0,,14.0,14.0,14.0,10
11,GP,F,15.0,U,GT3,T,-inf,1.0,services,other,reputation,father,3.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,2.0,1.0,1.0,4.0,0.0,10.0,12.0,13.0,11
12,GP,M,15.0,U,LE3,T,4.0,4.0,health,services,course,father,1.0,nan,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,,3.0,1.0,3.0,5.0,0.0,12.0,13.0,12.0,12
13,GP,M,15.0,U,GT3,T,4.0,3.0,teacher,other,course,mother,2.0,2.0,inf,no,yes,no,no,yes,yes,yes,no,5.0,4.0,3.0,1.0,inf,3.0,0.0,12.0,12.0,13.0,13
14,GP,M,15.0,U,GT3,A,2.0,2.0,other,other,home,other,1.0,3.0,0.0,no,yes,no,no,yes,yes,yes,yes,4.0,5.0,,1.0,1.0,3.0,0.0,14.0,14.0,15.0,14
15,GP,F,16.0,U,GT3,T,4.0,4.0,health,other,home,mother,-,1.0,-,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,2.0,nan,6.0,17.0,17.0,17.0,15
16,GP,F,16.0,U,GT3,T,4.0,4.0,services,services,reputation,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,3.0,2.0,nan,-inf,-,2.0,10.0,13.0,,14.0,16
17,GP,F,16.0,U,GT3,T,3.0,,other,other,reputation,mother,3.0,,inf,yes,yes,no,yes,yes,yes,no,no,5.0,,2.0,1.0,1.0,4.0,2.0,,14.0,14.0,17
18,GP,M,,U,GT3,T,,inf,services,services,course,mother,1.0,1.0,3.0,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,5.0,,4.0,5.0,2.0,,8.0,,18
19,GP,M,,U,LE3,T,4.0,3.0,health,other,home,father,1.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,3.0,1.0,nan,1.0,3.0,5.0,6.0,12.0,12.0,12.0,19
20,GP,M,15.0,U,GT3,T,,3.0,teacher,other,reputation,mother,1.0,nan,0.0,no,no,no,no,yes,yes,yes,no,4.0,,,1.0,1.0,inf,0.0,12.0,13.0,14.0,20
21,GP,M,15.0,U,GT3,T,-,4.0,health,health,other,father,1.0,inf,0.0,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,,1.0,1.0,-inf,0.0,11.0,12.0,12.0,21
22,GP,M,16.0,U,LE3,T,4.0,2.0,teacher,other,course,mother,1.0,,0.0,no,no,no,yes,yes,yes,yes,no,4.0,5.0,,1.0,nan,5.0,0.0,12.0,,,22
23,GP,M,16.0,U,LE3,T,2.0,2.0,other,other,reputation,mother,2.0,-,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4.0,2.0,-inf,nan,2.0,10.0,10.0,10.0,23
24,GP,F,15.0,R,GT3,T,2.0,-inf,services,health,course,mother,inf,,0.0,yes,yes,no,yes,yes,yes,yes,no,,,2.0,1.0,nan,5.0,2.0,10.0,11.0,10.0,24
25,GP,F,16.0,U,GT3,T,2.0,2.0,services,services,home,mother,-inf,1.0,0.0,no,yes,no,no,no,yes,yes,no,,2.0,2.0,1.0,3.0,nan,inf,10.0,11.0,12.0,25
26,GP,M,,U,GT3,T,2.0,,other,other,home,mother,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,2.0,5.0,8.0,11.0,12.0,12.0,26
27,GP,M,15.0,U,GT3,T,-inf,2.0,health,services,other,mother,1.0,1.0,,no,no,no,no,yes,yes,yes,no,2.0,2.0,4.0,2.0,4.0,1.0,0.0,11.0,,11.0,27
28,GP,M,16.0,U,LE3,A,3.0,4.0,services,other,home,mother,1.0,2.0,inf,yes,yes,yes,yes,yes,yes,yes,no,,3.0,3.0,1.0,1.0,5.0,2.0,nan,,13.0,28
29,GP,M,16.0,U,GT3,T,,4.0,teacher,teacher,home,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4.0,5.0,-,,5.0,4.0,,11.0,12.0,29
30,GP,M,15.0,U,GT3,T,4.0,4.0,health,services,home,mother,-inf,-inf,0.0,no,yes,yes,no,no,yes,yes,no,nan,4.0,-,3.0,4.0,5.0,0.0,,11.0,nan,30
31,GP,M,15.0,U,GT3,T,4.0,-inf,services,services,reputation,mother,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,,1.0,1.0,1.0,5.0,inf,15.0,15.0,15.0,31
32,GP,M,15.0,R,GT3,T,4.0,3.0,teacher,at_home,course,mother,1.0,2.0,,no,yes,no,yes,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,5.0,0.0,13.0,14.0,15.0,32
33,GP,M,,U,LE3,T,-inf,3.0,other,other,course,mother,1.0,2.0,0.0,no,no,no,yes,no,yes,yes,no,nan,inf,2.0,nan,,2.0,0.0,13.0,,12.0,33
34,GP,M,16.0,U,GT3,T,nan,2.0,other,other,home,mother,1.0,1.0,0.0,no,yes,no,no,no,yes,yes,no,5.0,4.0,3.0,1.0,1.0,5.0,4.0,12.0,12.0,12.0,34
35,GP,F,15.0,U,GT3,T,2.0,3.0,other,other,other,father,2.0,1.0,0.0,no,yes,no,yes,yes,yes,no,no,3.0,5.0,1.0,1.0,,,4.0,,11.0,11.0,35
36,GP,M,15.0,U,LE3,T,4.0,3.0,teacher,services,home,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3.0,1.0,-,4.0,0.0,-,14.0,14.0,36
37,GP,M,16.0,R,GT3,A,4.0,-,other,teacher,reputation,mother,2.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,2.0,4.0,3.0,1.0,1.0,5.0,4.0,13.0,13.0,13.0,37
38,GP,F,15.0,R,GT3,T,3.0,4.0,services,health,course,mother,,3.0,-,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,-inf,1.0,1.0,5.0,2.0,11.0,12.0,12.0,38
39,GP,F,15.0,R,GT3,T,2.0,-inf,at_home,other,reputation,mother,,1.0,,yes,yes,no,yes,yes,yes,no,no,,3.0,1.0,1.0,1.0,2.0,8.0,nan,13.0,12.0,39
40,GP,F,,U,LE3,T,inf,2.0,other,other,home,mother,2.0,2.0,0.0,no,yes,no,yes,no,yes,yes,yes,3.0,3.0,3.0,1.0,2.0,3.0,16.0,,,10.0,40
41,GP,M,-inf,U,LE3,T,4.0,4.0,teacher,other,home,other,1.0,1.0,0.0,no,yes,no,no,no,yes,yes,yes,5.0,4.0,3.0,2.0,4.0,5.0,-inf,,11.0,,41
42,GP,M,15.0,U,GT3,T,4.0,4.0,services,teacher,course,father,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,-inf,3.0,,1.0,1.0,5.0,0.0,14.0,15.0,nan,42
43,GP,M,15.0,U,GT3,T,2.0,2.0,services,services,course,father,1.0,1.0,0.0,yes,yes,no,no,yes,yes,yes,no,5.0,4.0,,1.0,1.0,,0.0,9.0,,10.0,43
44,GP,F,16.0,U,LE3,T,2.0,2.0,other,at_home,course,father,2.0,2.0,1.0,yes,no,no,yes,yes,yes,yes,no,,3.0,3.0,-,2.0,5.0,-,10.0,11.0,nan,44
45,GP,F,-inf,U,LE3,A,4.0,3.0,other,other,course,mother,1.0,-inf,,yes,yes,yes,yes,yes,yes,yes,yes,inf,2.0,2.0,1.0,1.0,5.0,-,10.0,11.0,11.0,45
46,GP,F,16.0,U,LE3,A,-,3.0,other,services,home,mother,1.0,2.0,,no,yes,no,no,yes,yes,yes,no,2.0,3.0,5.0,-,4.0,3.0,6.0,13.0,12.0,13.0,46
47,GP,M,-,U,GT3,T,4.0,3.0,health,services,reputation,mother,1.0,4.0,0.0,no,no,no,yes,yes,yes,yes,no,,2.0,2.0,-,1.0,2.0,2.0,17.0,17.0,17.0,47
48,GP,M,,U,GT3,T,4.0,2.0,teacher,other,home,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,no,no,4.0,3.0,inf,2.0,2.0,5.0,4.0,11.0,12.0,13.0,48
49,GP,F,15.0,U,GT3,T,4.0,4.0,services,teacher,other,father,1.0,2.0,0.0,yes,yes,no,yes,no,yes,yes,no,4.0,4.0,,1.0,1.0,3.0,2.0,inf,12.0,12.0,49
50,GP,F,16.0,U,LE3,T,2.0,2.0,services,services,course,mother,3.0,2.0,-,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,2.0,3.0,-,0.0,14.0,,,50
51,GP,F,15.0,U,LE3,T,4.0,2.0,health,other,other,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,1.0,,0.0,16.0,14.0,16.0,51
52,GP,M,,U,LE3,A,4.0,2.0,health,health,other,father,2.0,inf,0.0,no,no,no,no,yes,yes,no,no,-,,5.0,3.0,4.0,5.0,4.0,10.0,9.0,9.0,52
53,GP,F,15.0,U,GT3,T,4.0,4.0,services,services,course,mother,1.0,,0.0,yes,yes,no,no,yes,yes,yes,no,3.0,3.0,4.0,2.0,inf,5.0,,-,12.0,12.0,53
54,GP,F,,U,LE3,A,3.0,3.0,other,other,other,mother,1.0,1.0,0.0,no,no,no,no,yes,yes,yes,no,5.0,3.0,,4.0,,1.0,,13.0,12.0,inf,54
